model_key,mileage,engine_power,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,rental_price_per_day,fuel_electro,fuel_hybrid_petrol,fuel_petrol,car_type_coupe,car_type_estate,car_type_hatchback,car_type_sedan,car_type_subcompact,car_type_suv,car_type_van
Citroën,55329,135,0,0,0,0,0,0,163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,14041,140,1,1,0,0,1,1,166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Renault,78638,160,0,1,0,0,0,1,135,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Renault,265751,85,0,0,0,0,0,0,32,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,181644,135,1,1,0,0,1,0,138,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,56250,160,0,0,0,0,0,0,169,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,61300,135,1,1,0,0,1,0,166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,93066,135,0,0,0,1,1,0,109,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,199614,120,1,1,1,0,1,1,127,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,27786,140,0,1,0,0,0,1,162,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,80165,135,0,0,0,0,0,0,140,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,42077,135,0,0,0,0,1,1,150,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,23949,100,0,1,0,0,1,0,162,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,175311,130,1,0,0,1,1,0,93,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,220101,130,0,0,0,0,1,0,94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,64386,135,0,0,0,0,1,1,154,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,54993,135,0,0,0,0,0,0,136,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,152383,135,1,0,0,0,1,1,130,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,202812,130,0,0,0,0,1,0,91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,220296,130,0,0,0,0,1,0,87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,125965,135,0,1,0,0,1,1,153,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,193330,120,1,1,0,0,1,1,152,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Renault,12402,170,1,1,0,0,0,0,309,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,147130,135,0,1,0,0,1,0,152,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,96260,135,0,1,0,0,1,1,159,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,48431,135,1,1,0,1,1,1,164,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PGO,170862,170,1,0,0,0,1,1,96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,100154,135,1,1,0,0,1,0,150,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,187967,120,1,1,0,0,0,1,56,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,39228,135,0,0,0,0,1,0,121,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,188335,130,0,0,0,0,1,0,93,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,107375,135,1,1,0,0,1,1,154,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,33947,135,0,1,0,0,1,1,167,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,61429,135,1,1,0,0,1,0,164,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Renault,149943,190,1,1,1,0,1,1,102,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,41353,135,0,0,0,0,1,1,148,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,80540,120,0,1,0,1,1,0,148,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,12634,142,1,1,0,0,1,0,133,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Citroën,47902,140,1,1,0,0,1,1,175,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Peugeot,70880,190,0,1,0,0,0,1,169,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
