rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_category
558739,255956,mobile,ended,-80.0,,,0- No delay
553701,405247,mobile,ended,-27.0,,,0- No delay
558879,262591,mobile,ended,-31.0,,,0- No delay
553621,380364,mobile,ended,-28.0,,,0- No delay
553617,307364,mobile,ended,-58.0,,,0- No delay
553579,405741,mobile,ended,-65.0,,,0- No delay
553555,349577,mobile,ended,-97.0,,,0- No delay
559060,248889,connect,ended,-50.0,,,0- No delay
553316,334118,mobile,ended,-11.0,,,0- No delay
553178,374614,mobile,ended,-2.0,,,0- No delay
559113,313905,mobile,ended,-90.0,,,0- No delay
552971,412021,mobile,ended,-38.0,,,0- No delay
558313,285452,connect,ended,-21.0,556448.0,720.0,0- No delay
559121,316009,mobile,ended,-31.0,,,0- No delay
552558,390976,connect,ended,-53.0,,,0- No delay
559620,329816,mobile,ended,-142.0,,,0- No delay
552305,342699,connect,ended,-66.0,,,0- No delay
552218,408319,mobile,ended,-6.0,,,0- No delay
560196,327732,mobile,ended,-78.0,,,0- No delay
552027,195977,connect,ended,-73.0,,,0- No delay
560272,396281,mobile,ended,-25.0,,,0- No delay
560343,405005,connect,ended,-46.0,,,0- No delay
551794,350705,mobile,ended,-22.0,,,0- No delay
560433,389307,mobile,ended,-111.0,,,0- No delay
551480,379465,mobile,ended,-35.0,,,0- No delay
560890,334190,connect,ended,-19.0,,,0- No delay
559377,273020,mobile,ended,-20.0,,,0- No delay
560984,376406,connect,ended,-22.0,,,0- No delay
558177,381029,mobile,ended,-82.0,,,0- No delay
557741,377835,mobile,ended,-6.0,,,0- No delay
546153,405086,mobile,ended,-52.0,,,0- No delay
558042,284054,mobile,ended,-85.0,,,0- No delay
546233,275932,mobile,ended,-49.0,,,0- No delay
557724,377806,mobile,ended,-74.0,,,0- No delay
557620,363095,mobile,ended,-19.0,,,0- No delay
557210,406124,connect,ended,-10.0,,,0- No delay
557021,368436,mobile,ended,-214.0,,,0- No delay
547028,290726,connect,ended,-1.0,,,0- No delay
556934,315427,mobile,ended,-21.0,,,0- No delay
561970,314220,mobile,ended,-8.0,,,0- No delay
562114,408506,mobile,ended,-47.0,,,0- No delay
562261,255821,mobile,ended,-15.0,,,0- No delay
558129,344254,connect,ended,-185.0,558115.0,690.0,0- No delay
562333,280805,connect,ended,-138.0,,,0- No delay
563739,294883,mobile,ended,-12.0,,,0- No delay
563829,412350,mobile,ended,-25.0,,,0- No delay
555798,388540,mobile,ended,-33.0,552353.0,30.0,0- No delay
555721,241590,mobile,ended,-29.0,,,0- No delay
564118,362187,connect,ended,-8.0,,,0- No delay
555341,297962,connect,ended,-24.0,,,0- No delay
564681,378754,connect,ended,-29.0,,,0- No delay
554929,245636,mobile,ended,-88.0,,,0- No delay
554785,378342,mobile,ended,-23.0,,,0- No delay
554624,406784,mobile,ended,-85.0,,,0- No delay
565170,318371,mobile,ended,-150.0,560843.0,0.0,0- No delay
563167,341062,connect,ended,-127.0,,,0- No delay
561015,250455,mobile,ended,-72.0,,,0- No delay
561035,392812,mobile,ended,-61.0,,,0- No delay
550816,254177,mobile,ended,-85.0,,,0- No delay
547373,410110,mobile,ended,-96.0,,,0- No delay
558735,385011,connect,ended,-46.0,,,0- No delay
547058,373893,connect,ended,-137.0,,,0- No delay
547047,337047,mobile,ended,-53.0,544443.0,30.0,0- No delay
546785,370490,mobile,ended,-29.0,,,0- No delay
546639,267021,mobile,ended,-60.0,,,0- No delay
546634,393373,mobile,ended,-9.0,,,0- No delay
546562,328135,connect,ended,-43.0,,,0- No delay
559469,371139,mobile,ended,-22.0,,,0- No delay
546464,389785,connect,ended,-1.0,550903.0,690.0,0- No delay
546397,374881,mobile,ended,-2.0,,,0- No delay
559524,328816,mobile,ended,-119.0,,,0- No delay
547589,373367,mobile,ended,-3.0,545463.0,60.0,0- No delay
559720,399837,mobile,ended,-8.0,,,0- No delay
546069,377924,mobile,ended,-76.0,,,0- No delay
559786,283324,mobile,ended,-102.0,,,0- No delay
559881,397791,mobile,ended,-148.0,,,0- No delay
545784,404020,mobile,ended,-11.0,543175.0,30.0,0- No delay
545762,347416,mobile,ended,-74.0,,,0- No delay
560232,365575,mobile,ended,-46.0,,,0- No delay
545637,245884,mobile,ended,-49.0,,,0- No delay
545563,408597,mobile,ended,-35.0,,,0- No delay
560670,381104,mobile,ended,-119.0,,,0- No delay
545330,296815,connect,ended,-37.0,,,0- No delay
545006,261263,mobile,ended,-84.0,,,0- No delay
546114,281702,mobile,ended,-54.0,,,0- No delay
558480,381787,connect,ended,-15.0,548193.0,210.0,0- No delay
547686,362816,mobile,ended,-51.0,,,0- No delay
565019,384156,mobile,ended,-109.0,,,0- No delay
561339,366872,connect,ended,-146.0,566968.0,690.0,0- No delay
561445,311923,connect,ended,-87.0,,,0- No delay
550605,386802,mobile,ended,-25.0,,,0- No delay
550581,405841,mobile,ended,-91.0,,,0- No delay
561613,373925,mobile,ended,-19.0,,,0- No delay
562126,370049,mobile,ended,-62.0,,,0- No delay
562214,359880,connect,ended,-114.0,,,0- No delay
549848,352346,mobile,ended,-51.0,,,0- No delay
549710,167938,mobile,ended,-38.0,,,0- No delay
549659,367608,connect,ended,-72.0,548833.0,120.0,0- No delay
549430,366071,mobile,ended,-3.0,551575.0,180.0,0- No delay
549218,359884,mobile,ended,-46.0,,,0- No delay
563092,410214,mobile,ended,-38.0,563145.0,180.0,0- No delay
549181,409737,mobile,ended,-42.0,,,0- No delay
563175,377732,mobile,ended,-53.0,,,0- No delay
563253,403962,connect,ended,-139.0,,,0- No delay
548868,356434,mobile,ended,-4.0,551652.0,0.0,0- No delay
563818,390927,connect,ended,-6.0,,,0- No delay
548466,383255,mobile,ended,-129.0,,,0- No delay
563832,389565,connect,ended,-5.0,564385.0,60.0,0- No delay
548310,191352,mobile,ended,-18.0,,,0- No delay
547967,337437,connect,ended,-108.0,,,0- No delay
564812,385391,connect,ended,-1.0,,,0- No delay
564890,396266,mobile,ended,-165.0,562788.0,510.0,0- No delay
568238,242967,mobile,ended,-84.0,,,0- No delay
568885,410956,mobile,ended,-11.0,,,0- No delay
569177,340579,connect,ended,-38.0,,,0- No delay
569185,313952,mobile,ended,-85.0,,,0- No delay
541894,355900,connect,ended,-118.0,,,0- No delay
519392,336850,connect,ended,-226.0,,,0- No delay
541928,227830,mobile,ended,-18.0,,,0- No delay
519190,368657,mobile,ended,-44.0,,,0- No delay
541941,314787,mobile,ended,-83.0,,,0- No delay
542228,348412,mobile,ended,-103.0,,,0- No delay
